LGA,Median Weekly Income
Alpine,731
Ararat,685
Ballarat,743
Banyule,915
Bass Coast,626
Baw Baw,726
Bayside (Vic.),1098
Benalla,654
Boroondara,1071
Brimbank,611
Buloke,618
Campaspe,668
Cardinia,831
Casey,783
Central Goldfields,503
Colac Otway,704
Corangamite,689
Darebin,879
East Gippsland,603
Frankston,805
Gannawarra,590
Glen Eira,1021
Glenelg,640
Golden Plains,783
Greater Bendigo,739
Greater Dandenong,618
Greater Geelong,769
Greater Shepparton,712
Hepburn,666
Hindmarsh,644
Hobsons Bay,913
Horsham,772
Hume,665
Indigo,777
Kingston (Vic.),878
Knox,797
Latrobe (Vic.),654
Loddon,554
Macedon Ranges,865
Manningham,756
Mansfield,716
Maribyrnong,965
Maroondah,851
Melbourne,959
Melton,786
Mildura,694
Mitchell,789
Moira,629
Monash,754
Moonee Valley,954
Moorabool,802
Moreland,921
Mornington Peninsula,761
Mount Alexander,674
Moyne,767
Murrindindi,673
Nillumbik,962
Northern Grampians,653
Port Phillip,1289
Pyrenees,579
Queenscliffe,834
South Gippsland,655
Southern Grampians,699
Stonnington,1294
Strathbogie,653
Surf Coast,941
Swan Hill,715
Towong,689
Wangaratta,727
Warrnambool,759
Wellington,658
West Wimmera,702
Whitehorse,778
Whittlesea,737
Wodonga,805
Wyndham,839
Yarra,1324
Yarra Ranges,808
Yarriambiack,625
No usual address (Vic.),0
Migratory - Offshore - Shipping (Vic.),2200
