LGA_NAME,Population density 2025
ALPINE,2.8
ARARAT,2.8
BALLARAT,166.0
BANYULE,2123.0
BASS COAST,51.3
BAW BAW,15.6
BAYSIDE (VIC.),2879.9
BENALLA,6.2
BOROONDARA,2967.9
BRIMBANK,1606.0
BULOKE,0.7
CAMPASPE,8.4
CARDINIA,104.1
CASEY,1013.4
CENTRAL GOLDFIELDS,9.0
COLAC OTWAY,6.5
CORANGAMITE,3.6
DAREBIN,3038.9
EAST GIPPSLAND,2.4
FRANKSTON,1121.7
GANNAWARRA,2.8
GLEN EIRA,4213.5
GLENELG,3.2
GOLDEN PLAINS,9.8
GREATER BENDIGO,42.2
GREATER DANDENONG,1302.1
GREATER GEELONG,236.4
GREATER SHEPPARTON,28.8
HEPBURN,11.5
HINDMARSH,0.7
HOBSONS BAY,1510.4
HORSHAM,4.7
HUME,553.5
INDIGO,8.7
KINGSTON (VIC.),1839.4
KNOX,1438.1
LATROBE (VIC.),55.5
LODDON,1.2
MACEDON RANGES,31.2
MANNINGHAM,1172.6
MANSFIELD,2.9
MARIBYRNONG,3031.9
MAROONDAH,1958.1
MELBOURNE,5179.9
MELTON,439.0
MERRI-BEK,3711.5
MILDURA,2.6
MITCHELL,20.4
MOIRA,7.6
MONASH,2599.7
MOONEE VALLEY,3025.2
MOORABOOL,19.2
MORNINGTON PENINSULA,237.9
MOUNT ALEXANDER,13.7
MOYNE,3.2
MURRINDINDI,4.0
NILLUMBIK,147.6
NORTHERN GRAMPIANS,2.1
PORT PHILLIP,5551.2
PYRENEES,2.3
QUEENSCLIFFE,385.0
SOUTH GIPPSLAND,9.4
SOUTHERN GRAMPIANS,2.5
STONNINGTON,4475.0
STRATHBOGIE,3.6
SURF COAST,25.9
SWAN HILL,3.4
TOWONG,0.9
WANGARATTA,8.3
WARRNAMBOOL,299.8
WELLINGTON,4.3
WEST WIMMERA,0.4
WHITEHORSE,2882.0
WHITTLESEA,530.5
WODONGA,103.3
WYNDHAM,641.6
YARRA,5186.5
YARRA RANGES,65.2
YARRIAMBIACK,0.9
UNINCORPORATED VIC,3.2
TOTAL VICTORIA,31.1
