LGA_NAME,stop_count
ALBURY,233
ALPINE,22
ARARAT,94
BALLARAT,620
BALRANALD,4
BANYULE,671
BASS COAST,223
BAW BAW,164
BAYSIDE,533
BEGA VALLEY,6
BENALLA,58
BERRIGAN,4
BOROONDARA,802
BRIMBANK,994
BULOKE,21
CAMPASPE,125
CARDINIA,377
CASEY,1464
CENTRAL GOLDFIELDS,103
COLAC OTWAY,121
COOTAMUNDRA-GUNDAGAI REGIONAL,1
CORANGAMITE,32
DAREBIN,950
EAST GIPPSLAND,173
EDWARD RIVER,1
FEDERATION,8
FRANKSTON,651
GANNAWARRA,17
GLEN EIRA,766
GLENELG,74
GOLDEN PLAINS,31
GREATER BENDIGO,751
GREATER DANDENONG,857
GREATER GEELONG,1399
GREATER HUME,3
GREATER SHEPPARTON,399
HEPBURN,101
HINDMARSH,15
HOBSONS BAY,502
HORSHAM,137
HUME,1136
INDIGO,26
KINGSTON,918
KNOX,798
LATROBE,442
LODDON,49
MACEDON RANGES,159
MANNINGHAM,633
MANSFIELD,19
MARIBYRNONG,583
MAROONDAH,581
MELBOURNE,852
MELTON,573
MERRI-BEK,883
MILDURA,358
MITCHELL,180
MOIRA,40
MONASH,935
MOONEE VALLEY,680
MOORABOOL,133
MORNINGTON PENINSULA,690
MOUNT ALEXANDER,100
MOUNT GAMBIER,1
MOUNT HOTHAM ALPINE RESORT,2
MOYNE,71
MURRAY RIVER,38
MURRINDINDI,66
MURRUMBIDGEE,5
NARACOORTE LUCINDALE,2
NILLUMBIK,279
NORTHERN GRAMPIANS,92
PORT PHILLIP,416
PYRENEES,20
QUEENSCLIFFE,35
SNOWY MONARO REGIONAL,4
SNOWY VALLEYS,1
SOUTH GIPPSLAND,38
SOUTHERN GRAMPIANS,88
SOUTHERN MALLEE,5
STONNINGTON,530
STRATHBOGIE,20
SURF COAST,116
SWAN HILL,82
TATIARA,3
TOWONG,8
WAGGA WAGGA,2
WANGARATTA,145
WARRNAMBOOL,187
WELLINGTON,161
WENTWORTH,1
WEST WIMMERA,8
WHITEHORSE,985
WHITTLESEA,1018
WODONGA,115
WYNDHAM,1047
YARRA,440
YARRA RANGES,781
YARRIAMBIACK,48
